Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_592,       ,EGIPS J004244.3+483949,10.6846531,48.6638288,J004244.32+483949.8,0.75
Obj_8592,2169388,EGIPS J122815.6+404056,187.0653973,40.6824464,J122815.70+404056.8,0.75
Obj_598,3601613,EGIPS J004319.0-195712,10.8292172,-19.9536035,J004319.01-195713.0,0.75
Obj_9525,46968,EGIPS J132539.3-272043,201.414014,-27.3453549,J132539.36-272043.3,0.75
Obj_12062,91528,EGIPS J162049.8+630709,245.2077939,63.1192822,J162049.87+630709.4,0.75
Obj_13088,91606,EGIPS J174749.4+054826,266.9558785,5.8074212,J174749.41+054826.7,0.75
Obj_14001,3917340,EGIPS J200540.8-202425,301.4201597,-20.4071874,J200540.84-202425.9,0.75
Obj_388,814815,EGIPS J003025.7-222353,7.6074969,-22.3982839,J003025.80-222353.8,0.75
Obj_4835,1198627,EGIPS J081817.6+013337,124.5734029,1.5604187,J081817.62+013337.5,0.75
Obj_15234,2026052,EGIPS J222635.7+331142,336.64875,33.1950441,J222635.70+331142.2,0.75
Obj_3092,1653789,EGIPS J043958.7+213714,69.9948643,21.6205625,J043958.77+213714.0,0.75
Obj_1684,8287,EGIPS J021011.6+413343,32.5485548,41.5620988,J021011.65+413343.6,0.75
Obj_166,1220099,EGIPS J001307.6+021332,3.281944,2.225654,J001307.67+021332.4,0.75
Obj_15762,70541,EGIPS J230754.9+050940,346.9791568,5.1612389,J230755.00+050940.5,0.75
Obj_11490,1730275,EGIPS J154439.2+251509,236.1634,25.252631,J154439.22+251509.5,0.75
Obj_8544,40552,EGIPS J122534.7+452554,186.3949314,45.4317573,J122534.78+452554.3,0.75
Obj_15650,70175,EGIPS J225912.8+133624,344.8033426,13.606814,J225912.80+133624.5,0.75
Obj_9420,1148678,EGIPS J131837.5-001336,199.6564212,-0.226844,J131837.54-001336.6,0.75
Obj_14212,       ,EGIPS J203816.2+181544,309.5679027,18.2624899,J203816.30+181545.0,0.75
Obj_12772,1920042,EGIPS J171505.5+305005,258.7729523,30.8347348,J171505.51+305005.0,0.75
Obj_3302,16772,EGIPS J050732.0-113908,76.883367,-11.6524068,J050732.01-113908.7,0.75
Obj_4746,23025,EGIPS J081256.9+733348,123.2374292,73.5636018,J081256.98+733349.0,0.75
Obj_2036,9993,EGIPS J023817.5-200905,39.5730041,-20.1514491,J023817.52-200905.2,0.75
